		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS   0
000000011    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS   1
000000101    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS   2
000000111    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS   3
000001001    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS   4
000001011    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS   5
000001101    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS   6
000001111    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS   7
000010001    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS   8
000010011    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS   9
000010101    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  10
000010111    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  11
000011001    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  12
000011011    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  13
000011101    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  14
000011111    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  15
000100011    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  16
000100101    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  17
000100111    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  18
000101001    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  19
000101011    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  20
000101101    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  21
000101111    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  22
000110011    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  23
000110101    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  24
000110111    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  25
000111001    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  26
000111011    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  27
000111101    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  28
000111111    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  29
001000011    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  30
001000101    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  31
001000111    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  32
001001011    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  33
001001101    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  34
001001111    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  35
001010011    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  36
001010101    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  37
001010111    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  38
001011011    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  39
001011101    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  40
001011111    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  41
001100101    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  42
001100111    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  43
001101011    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  44
001101101    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  45
001101111    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  46
001110101    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  47
001110111    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  48
001111011    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  49
001111101    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  50
001111111    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  51
010000011    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  52
010000111    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  53
010001011    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  54
010001111    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  55
010010011    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  56
010010111    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  57
010011011    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  58
010011111    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  59
010100011    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  60
010100111    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  61
010101011    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  62
010101111    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  63
010110011    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  64
010110111    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  65
010111011    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  66
010111111    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  67
011000111    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  68
011001111    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  69
011010111    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  70
011011111    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  71
011101111    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  72
011111111    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  73
100000000    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  74
100010000    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  75
100100000    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  76
100101000    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  77
100110000    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  78
100111000    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  79
101000000    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  80
101000100    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  81
101001000    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  82
101001100    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  83
101010000    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  84
101010100    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  85
101011000    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  86
